idx,world_x,world_y,world_z
0,-542.8826,181.7050,0.0000
1,-542.8326,181.7050,0.0000
2,-542.7826,181.7050,0.0000
3,-542.7326,181.7050,0.0000
4,-542.6826,181.7050,0.0000
5,-542.6326,181.7050,0.0000
6,-542.5826,181.7050,0.0000
7,-542.5326,181.7050,0.0000
8,-542.4826,181.7050,0.0000
9,-542.4326,181.7050,0.0000
10,-542.3826,181.7050,0.0000
11,-542.3326,181.7050,0.0000
12,-542.2826,181.7050,0.0000
13,-542.2326,181.7050,0.0000
14,-542.1826,181.7050,0.0000
15,-542.1326,181.7050,0.0000
16,-542.0826,181.7050,0.0000
17,-542.0326,181.7050,0.0000
18,-541.9826,181.7050,0.0000
19,-541.9326,181.7050,0.0000
20,-541.8826,181.7050,0.0000
21,-541.8326,181.7050,0.0000
22,-541.7826,181.7050,0.0000
23,-541.7326,181.7050,0.0000
24,-541.6826,181.7050,0.0000
25,-541.6326,181.7050,0.0000
26,-541.5826,181.7050,0.0000
27,-541.5326,181.7050,0.0000
28,-541.4826,181.7050,0.0000
29,-541.4326,181.7050,0.0000
30,-541.3826,181.7050,0.0000
31,-541.3326,181.7050,0.0000
32,-541.2826,181.7050,0.0000
33,-541.2326,181.7050,0.0000
34,-541.1826,181.7050,0.0000
35,-541.1326,181.7050,0.0000
36,-541.0826,181.7050,0.0000
37,-541.0326,181.7050,0.0000
38,-540.9826,181.7050,0.0000
39,-540.9326,181.7050,0.0000
40,-540.8826,181.7050,0.0000
41,-540.8326,181.7050,0.0000
42,-540.7826,181.7050,0.0000
43,-540.7326,181.7050,0.0000
44,-540.6826,181.7050,0.0000
45,-540.6326,181.7050,0.0000
46,-540.5826,181.7050,0.0000
47,-540.5326,181.7050,0.0000
48,-540.4826,181.7050,0.0000
49,-540.4326,181.7050,0.0000
50,-540.3826,181.7050,0.0000
51,-540.3326,181.7050,0.0000
52,-540.2826,181.7050,0.0000
53,-540.2326,181.7050,0.0000
54,-540.1826,181.7050,0.0000
55,-540.1326,181.7050,0.0000
56,-540.0826,181.7050,0.0000
57,-540.0326,181.7050,0.0000
58,-539.9826,181.7050,0.0000
59,-539.9326,181.7050,0.0000
60,-539.8826,181.7050,0.0000
61,-539.8326,181.7050,0.0000
62,-539.7826,181.7050,0.0000
63,-539.7326,181.7050,0.0000
64,-539.6826,181.7050,0.0000
65,-539.6326,181.7050,0.0000
66,-539.5826,181.7050,0.0000
67,-539.5326,181.7050,0.0000
68,-539.4826,181.7050,0.0000
69,-539.4326,181.7050,0.0000
70,-539.3826,181.7050,0.0000
71,-539.3326,181.7050,0.0000
72,-539.2826,181.7050,0.0000
73,-539.2326,181.7050,0.0000
74,-539.1826,181.7050,0.0000
75,-539.1326,181.7050,0.0000
76,-539.0826,181.7050,0.0000
77,-539.0326,181.7050,0.0000
78,-538.9826,181.7050,0.0000
79,-538.9326,181.7050,0.0000
80,-538.8826,181.7050,0.0000
81,-538.8326,181.7050,0.0000
82,-538.7826,181.7050,0.0000
83,-538.7326,181.7050,0.0000
84,-538.6826,181.7050,0.0000
85,-538.6326,181.7050,0.0000
86,-538.5826,181.7050,0.0000
87,-538.5326,181.7050,0.0000
88,-538.4826,181.7050,0.0000
89,-538.4326,181.7050,0.0000
90,-538.3826,181.7050,0.0000
91,-538.3326,181.7050,0.0000
92,-538.2826,181.7050,0.0000
93,-538.2326,181.7050,0.0000
94,-538.1826,181.7050,0.0000
95,-538.1326,181.7050,0.0000
96,-538.0826,181.7050,0.0000
97,-538.0326,181.7050,0.0000
98,-537.9826,181.7050,0.0000
99,-537.9326,181.7050,0.0000
100,-537.8826,181.7050,0.0000
101,-537.8326,181.7050,0.0000
102,-537.7826,181.7050,0.0000
103,-537.7326,181.7050,0.0000
104,-537.6826,181.7050,0.0000
105,-537.6326,181.7050,0.0000
106,-537.5826,181.7050,0.0000
107,-537.5326,181.7050,0.0000
108,-537.4826,181.7050,0.0000
109,-537.4326,181.7050,0.0000
110,-537.3826,181.7050,0.0000
111,-537.3326,181.7050,0.0000
112,-537.2826,181.7050,0.0000
113,-537.2326,181.7050,0.0000
114,-537.1826,181.7050,0.0000
115,-537.1326,181.7050,0.0000
116,-537.0826,181.7050,0.0000
117,-537.0326,181.7050,0.0000
118,-536.9826,181.7050,0.0000
119,-536.9326,181.7050,0.0000
120,-536.8826,181.7050,0.0000
121,-536.8326,181.7050,0.0000
122,-536.7826,181.7050,0.0000
123,-536.7326,181.7050,0.0000
124,-536.6826,181.7050,0.0000
125,-536.6326,181.7050,0.0000
126,-536.5826,181.7050,0.0000
127,-536.5326,181.7050,0.0000
128,-536.4826,181.7050,0.0000
129,-536.4326,181.7050,0.0000
130,-536.3826,181.7050,0.0000
131,-536.3326,181.7050,0.0000
