idx,world_x,world_y,world_z
0,-160.1690,116.6956,0.0000
1,-160.1190,116.6956,0.0000
2,-160.0690,116.6956,0.0000
3,-160.0190,116.6956,0.0000
4,-159.9690,116.6956,0.0000
5,-159.9190,116.6956,0.0000
6,-159.8690,116.6956,0.0000
7,-159.8190,116.6956,0.0000
8,-159.7690,116.6956,0.0000
9,-159.7190,116.6956,0.0000
10,-159.6690,116.6956,0.0000
11,-159.6190,116.6956,0.0000
12,-159.5690,116.6956,0.0000
13,-159.5190,116.6956,0.0000
14,-159.4690,116.6956,0.0000
15,-159.4190,116.6956,0.0000
16,-159.3690,116.6956,0.0000
17,-159.3190,116.6956,0.0000
18,-159.2690,116.6956,0.0000
19,-159.2190,116.6956,0.0000
20,-159.1690,116.6956,0.0000
21,-159.1190,116.6956,0.0000
22,-159.0690,116.6956,0.0000
23,-159.0190,116.6956,0.0000
24,-158.9690,116.6956,0.0000
25,-158.9190,116.6956,0.0000
26,-158.8690,116.6956,0.0000
27,-158.8190,116.6956,0.0000
28,-158.7690,116.6956,0.0000
29,-158.7190,116.6956,0.0000
30,-158.6690,116.6956,0.0000
31,-158.6190,116.6956,0.0000
32,-158.5690,116.6956,0.0000
33,-158.5190,116.6956,0.0000
34,-158.4690,116.6956,0.0000
35,-158.4190,116.6956,0.0000
36,-158.3690,116.6956,0.0000
37,-158.3190,116.6956,0.0000
38,-158.2690,116.6956,0.0000
39,-158.2190,116.6956,0.0000
40,-158.1690,116.6956,0.0000
41,-158.1190,116.6956,0.0000
42,-158.0690,116.6956,0.0000
43,-158.0190,116.6956,0.0000
44,-157.9690,116.6956,0.0000
45,-157.9190,116.6956,0.0000
46,-157.8690,116.6956,0.0000
47,-157.8190,116.6956,0.0000
48,-157.7690,116.6956,0.0000
49,-157.7190,116.6956,0.0000
50,-157.6690,116.6956,0.0000
51,-157.6190,116.6956,0.0000
52,-157.5690,116.6956,0.0000
53,-157.5190,116.6956,0.0000
54,-157.4690,116.6956,0.0000
55,-157.4190,116.6956,0.0000
56,-157.3690,116.6956,0.0000
57,-157.3190,116.6956,0.0000
58,-157.2690,116.6956,0.0000
59,-157.2190,116.6956,0.0000
60,-157.1690,116.6956,0.0000
61,-157.1190,116.6956,0.0000
62,-157.0690,116.6956,0.0000
63,-157.0190,116.6956,0.0000
64,-156.9690,116.6956,0.0000
65,-156.9190,116.6956,0.0000
66,-156.8690,116.6956,0.0000
67,-156.8190,116.6956,0.0000
68,-156.7690,116.6956,0.0000
69,-156.7190,116.6956,0.0000
70,-156.6690,116.6956,0.0000
71,-156.6190,116.6956,0.0000
72,-156.5690,116.6956,0.0000
73,-156.5190,116.6956,0.0000
74,-156.4690,116.6956,0.0000
75,-156.4190,116.6956,0.0000
76,-156.3690,116.6956,0.0000
77,-156.3190,116.6956,0.0000
78,-156.2690,116.6956,0.0000
79,-156.2190,116.6956,0.0000
80,-156.1690,116.6956,0.0000
81,-156.1190,116.6956,0.0000
82,-156.0690,116.6956,0.0000
83,-156.0190,116.6956,0.0000
84,-155.9690,116.6956,0.0000
85,-155.9190,116.6956,0.0000
86,-155.8690,116.6956,0.0000
87,-155.8190,116.6956,0.0000
88,-155.7690,116.6956,0.0000
89,-155.7190,116.6956,0.0000
90,-155.6690,116.6956,0.0000
91,-155.6190,116.6956,0.0000
92,-155.5690,116.6956,0.0000
93,-155.5190,116.6956,0.0000
94,-155.4690,116.6956,0.0000
95,-155.4190,116.6956,0.0000
96,-155.3690,116.6956,0.0000
97,-155.3190,116.6956,0.0000
98,-155.2690,116.6956,0.0000
99,-155.2190,116.6956,0.0000
100,-155.1690,116.6956,0.0000
101,-155.1190,116.6956,0.0000
102,-155.0690,116.6956,0.0000
103,-155.0190,116.6956,0.0000
104,-154.9690,116.6956,0.0000
105,-154.9190,116.6956,0.0000
106,-154.8690,116.6956,0.0000
107,-154.8190,116.6956,0.0000
108,-154.7690,116.6956,0.0000
109,-154.7190,116.6956,0.0000
110,-154.6690,116.6956,0.0000
111,-154.6190,116.6956,0.0000
112,-154.5690,116.6956,0.0000
113,-154.5190,116.6956,0.0000
114,-154.4690,116.6956,0.0000
115,-154.4190,116.6956,0.0000
116,-154.3690,116.6956,0.0000
117,-154.3190,116.6956,0.0000
118,-154.2690,116.6956,0.0000
119,-154.2190,116.6956,0.0000
120,-154.1690,116.6956,0.0000
121,-154.1190,116.6956,0.0000
122,-154.0690,116.6956,0.0000
123,-154.0190,116.6956,0.0000
124,-153.9690,116.6956,0.0000
125,-153.9190,116.6956,0.0000
126,-153.8690,116.6956,0.0000
127,-153.8190,116.6956,0.0000
128,-153.7690,116.6956,0.0000
129,-153.7190,116.6956,0.0000
130,-153.6690,116.6956,0.0000
131,-153.6190,116.6956,0.0000
132,-153.5690,116.6956,0.0000
133,-153.5190,116.6956,0.0000
134,-153.4690,116.6956,0.0000
135,-153.4190,116.6956,0.0000
136,-153.3690,116.6956,0.0000
137,-153.3190,116.6956,0.0000
138,-153.2690,116.6956,0.0000
139,-153.2190,116.6956,0.0000
140,-153.1690,116.6956,0.0000
141,-153.1190,116.6956,0.0000
142,-153.0690,116.6956,0.0000
143,-153.0190,116.6956,0.0000
144,-152.9690,116.6956,0.0000
145,-152.9190,116.6956,0.0000
146,-152.8690,116.6956,0.0000
147,-152.8190,116.6956,0.0000
148,-152.7690,116.6956,0.0000
149,-152.7190,116.6956,0.0000
150,-152.6690,116.6956,0.0000
151,-152.6190,116.6956,0.0000
152,-152.5690,116.6956,0.0000
153,-152.5190,116.6956,0.0000
154,-152.4690,116.6956,0.0000
155,-152.4190,116.6956,0.0000
156,-152.3690,116.6956,0.0000
157,-152.3190,116.6956,0.0000
158,-152.2690,116.6956,0.0000
159,-152.2190,116.6956,0.0000
160,-152.1690,116.6956,0.0000
161,-152.1190,116.6956,0.0000
162,-152.0690,116.6956,0.0000
163,-152.0190,116.6956,0.0000
164,-151.9690,116.6956,0.0000
165,-151.9190,116.6956,0.0000
166,-151.8690,116.6956,0.0000
167,-151.8190,116.6956,0.0000
168,-151.7690,116.6956,0.0000
169,-151.7190,116.6956,0.0000
170,-151.6690,116.6956,0.0000
171,-151.6190,116.6956,0.0000
172,-151.5690,116.6956,0.0000
173,-151.5190,116.6956,0.0000
174,-151.4690,116.6956,0.0000
175,-151.4190,116.6956,0.0000
176,-151.3690,116.6956,0.0000
177,-151.3190,116.6956,0.0000
178,-151.2690,116.6956,0.0000
179,-151.2190,116.6956,0.0000
180,-151.1690,116.6956,0.0000
181,-151.1190,116.6956,0.0000
182,-151.0690,116.6956,0.0000
183,-151.0190,116.6956,0.0000
184,-150.9690,116.6956,0.0000
185,-150.9190,116.6956,0.0000
186,-150.8690,116.6956,0.0000
187,-150.8190,116.6956,0.0000
188,-150.7690,116.6956,0.0000
189,-150.7190,116.6956,0.0000
190,-150.6690,116.6956,0.0000
191,-150.6190,116.6956,0.0000
192,-150.5690,116.6956,0.0000
193,-150.5190,116.6956,0.0000
194,-150.4690,116.6956,0.0000
195,-150.4190,116.6956,0.0000
196,-150.3690,116.6956,0.0000
197,-150.3190,116.6956,0.0000
198,-150.2690,116.6956,0.0000
199,-150.2190,116.6956,0.0000
200,-150.1690,116.6956,0.0000
201,-150.1190,116.6956,0.0000
202,-150.0690,116.6956,0.0000
203,-150.0190,116.6956,0.0000
204,-149.9690,116.6956,0.0000
205,-149.9190,116.6956,0.0000
206,-149.8690,116.6956,0.0000
207,-149.8190,116.6956,0.0000
208,-149.7690,116.6956,0.0000
209,-149.7190,116.6956,0.0000
210,-149.6690,116.6956,0.0000
211,-149.6190,116.6956,0.0000
212,-149.5690,116.6956,0.0000
213,-149.5190,116.6956,0.0000
214,-149.4690,116.6956,0.0000
215,-149.4190,116.6956,0.0000
216,-149.3690,116.6956,0.0000
217,-149.3190,116.6956,0.0000
218,-149.2690,116.6956,0.0000
219,-149.2190,116.6956,0.0000
220,-149.1690,116.6956,0.0000
221,-149.1190,116.6956,0.0000
222,-149.0690,116.6956,0.0000
223,-149.0190,116.6956,0.0000
224,-148.9690,116.6956,0.0000
225,-148.9190,116.6956,0.0000
226,-148.8690,116.6956,0.0000
227,-148.8190,116.6956,0.0000
228,-148.7690,116.6956,0.0000
229,-148.7190,116.6956,0.0000
230,-148.6690,116.6956,0.0000
231,-148.6190,116.6956,0.0000
232,-148.5690,116.6956,0.0000
233,-148.5190,116.6956,0.0000
234,-148.4690,116.6956,0.0000
235,-148.4190,116.6956,0.0000
236,-148.3690,116.6956,0.0000
237,-148.3190,116.6956,0.0000
238,-148.2690,116.6956,0.0000
239,-148.2190,116.6956,0.0000
240,-148.1690,116.6956,0.0000
241,-148.1190,116.6956,0.0000
242,-148.0690,116.6956,0.0000
243,-148.0190,116.6956,0.0000
244,-147.9690,116.6956,0.0000
245,-147.9190,116.6956,0.0000
246,-147.8690,116.6956,0.0000
247,-147.8190,116.6956,0.0000
248,-147.7690,116.6956,0.0000
249,-147.7190,116.6956,0.0000
250,-147.6690,116.6956,0.0000
251,-147.6190,116.6956,0.0000
252,-147.5690,116.6956,0.0000
253,-147.5190,116.6956,0.0000
254,-147.4690,116.6956,0.0000
255,-147.4190,116.6956,0.0000
256,-147.3690,116.6956,0.0000
257,-147.3190,116.6956,0.0000
258,-147.2690,116.6956,0.0000
259,-147.2190,116.6956,0.0000
260,-147.1690,116.6956,0.0000
261,-147.1190,116.6956,0.0000
262,-147.0690,116.6956,0.0000
263,-147.0190,116.6956,0.0000
264,-146.9690,116.6956,0.0000
265,-146.9190,116.6956,0.0000
266,-146.8690,116.6956,0.0000
267,-146.8190,116.6956,0.0000
268,-146.7690,116.6956,0.0000
269,-146.7190,116.6956,0.0000
270,-146.6690,116.6956,0.0000
271,-146.6190,116.6956,0.0000
272,-146.5690,116.6956,0.0000
273,-146.5190,116.6956,0.0000
274,-146.4690,116.6956,0.0000
275,-146.4190,116.6956,0.0000
276,-146.3690,116.6956,0.0000
277,-146.3190,116.6956,0.0000
278,-146.2690,116.6956,0.0000
279,-146.2190,116.6956,0.0000
280,-146.1690,116.6956,0.0000
281,-146.1190,116.6956,0.0000
282,-146.0690,116.6956,0.0000
283,-146.0190,116.6956,0.0000
284,-145.9690,116.6956,0.0000
285,-145.9190,116.6956,0.0000
286,-145.8690,116.6956,0.0000
287,-145.8190,116.6956,0.0000
288,-145.7690,116.6956,0.0000
289,-145.7190,116.6956,0.0000
290,-145.6690,116.6956,0.0000
291,-145.6190,116.6956,0.0000
292,-145.5690,116.6956,0.0000
293,-145.5190,116.6956,0.0000
294,-145.4690,116.6956,0.0000
295,-145.4190,116.6956,0.0000
