idx,world_x,world_y,world_z
0,-243.2165,231.6937,0.0000
1,-243.1665,231.6937,0.0000
2,-243.1165,231.6937,0.0000
3,-243.0665,231.6937,0.0000
4,-243.0165,231.6937,0.0000
5,-242.9665,231.6937,0.0000
6,-242.9165,231.6937,0.0000
7,-242.8665,231.6937,0.0000
8,-242.8165,231.6937,0.0000
9,-242.7665,231.6937,0.0000
10,-242.7165,231.6937,0.0000
11,-242.6665,231.6937,0.0000
12,-242.6165,231.6937,0.0000
13,-242.5665,231.6937,0.0000
14,-242.5165,231.6937,0.0000
15,-242.4665,231.6937,0.0000
16,-242.4165,231.6937,0.0000
17,-242.3665,231.6937,0.0000
18,-242.3165,231.6937,0.0000
19,-242.2665,231.6937,0.0000
20,-242.2165,231.6937,0.0000
21,-242.1665,231.6937,0.0000
22,-242.1165,231.6937,0.0000
23,-242.0665,231.6937,0.0000
24,-242.0165,231.6937,0.0000
25,-241.9665,231.6937,0.0000
26,-241.9165,231.6937,0.0000
27,-241.8665,231.6937,0.0000
28,-241.8165,231.6937,0.0000
29,-241.7665,231.6937,0.0000
30,-241.7165,231.6937,0.0000
31,-241.6665,231.6937,0.0000
32,-241.6165,231.6937,0.0000
33,-241.5665,231.6937,0.0000
34,-241.5165,231.6937,0.0000
35,-241.4665,231.6937,0.0000
36,-241.4165,231.6937,0.0000
37,-241.3665,231.6937,0.0000
38,-241.3165,231.6937,0.0000
39,-241.2665,231.6937,0.0000
40,-241.2165,231.6937,0.0000
41,-241.1665,231.6937,0.0000
42,-241.1165,231.6937,0.0000
43,-241.0665,231.6937,0.0000
44,-241.0165,231.6937,0.0000
45,-240.9665,231.6937,0.0000
46,-240.9165,231.6937,0.0000
47,-240.8665,231.6937,0.0000
48,-240.8165,231.6937,0.0000
49,-240.7665,231.6937,0.0000
50,-240.7165,231.6937,0.0000
51,-240.6665,231.6937,0.0000
52,-240.6165,231.6937,0.0000
53,-240.5665,231.6937,0.0000
54,-240.5165,231.6937,0.0000
55,-240.4665,231.6937,0.0000
56,-240.4165,231.6937,0.0000
57,-240.3665,231.6937,0.0000
58,-240.3165,231.6937,0.0000
59,-240.2665,231.6937,0.0000
60,-240.2165,231.6937,0.0000
61,-240.1665,231.6937,0.0000
62,-240.1165,231.6937,0.0000
63,-240.0665,231.6937,0.0000
64,-240.0165,231.6937,0.0000
65,-239.9665,231.6937,0.0000
66,-239.9165,231.6937,0.0000
67,-239.8665,231.6937,0.0000
68,-239.8165,231.6937,0.0000
69,-239.7665,231.6937,0.0000
70,-239.7165,231.6937,0.0000
71,-239.6665,231.6937,0.0000
