scan_stamp,callback_now,tf_stamp,dt_scan_tf,dt_scan_now,pending_age,d,sonar_tx,sonar_ty,sonar_tz,sonar_qx,sonar_qy,sonar_qz,sonar_qw,wx,wy,wz,j_xm540_joint_z,j_xm540_joint,j_joint_boat_x,j_joint_boat_y,js_stamp
1777060779.9871547,1777060780.290894,1777060779.9871547,0.0,0.3037393093109131,0.024362947002373403,1.8602404594421387,-15.000251273392005,14.991968621606159,-0.3244998009278689,-0.7065359376919339,1.3768992123430882e-06,0.7076771642123512,-4.987641079225907e-07,-15.003253585226771,14.991963689019546,-2.1847378375900632,1.236076172972389e-06,-0.0016173983458429575,-15.000030517578125,14.999969482421875,1777060779.9457808
1777060780.0492847,1777060780.2915106,1777060780.0492847,0.0,0.24222588539123535,0.023257587003172375,1.8602403402328491,-15.000250772768666,14.991968621606743,-0.3244998017336721,-0.7065372307973157,1.3788348318898783e-06,0.7076758731899178,-4.96826972071755e-07,-15.003246286153347,14.99196368902841,-2.184737730146287,1.2470397905417485e-06,-0.0016100857174023986,-15.000030517578125,14.999969482421875,1777060780.0729291
1777060780.1139262,1777060780.2918458,1777060780.1139262,0.0,0.17791962623596191,0.022427291001804406,1.8602399826049805,-15.000250273182033,14.991968621607324,-0.32449980253598276,-0.7065385212228532,1.3807717455790394e-06,0.7076745848383086,-4.948885508196179e-07,-15.00323900181082,14.991963689037856,-2.1847373842332862,1.248867533831799e-06,-0.0016088709235191345,-15.000030517578125,14.999969482421875,1777060780.0939465
1777060780.170296,1777060780.2921383,1777060780.170296,0.0,0.1218423843383789,0.02156185599960736,1.8602393865585327,-15.00024977475967,14.991968621607901,-0.3244998033346082,-0.7065398086390245,1.3827089897338207e-06,0.7076732994865469,-4.929498089450446e-07,-15.003231734061838,14.99196368904788,-2.1847367998482397,1.2506967550507397e-06,-0.0016076563624665141,-15.000030517578125,14.999969482421875,1777060780.1139262
1777060780.230664,1777060780.2924078,1777060780.230664,0.0,0.061743736267089844,0.02073678400120116,1.8602395057678223,-15.000249277581343,14.991968621608477,-0.32449980412943363,-0.706541092839887,1.3846473677183716e-06,0.7076720173402787,-4.910099414921914e-07,-15.003224485596828,14.991963689055963,-2.184736930662566,1.2525246120276279e-06,-0.001606442267075181,-15.000030517578125,14.999969482421875,1777060780.1340485
1777060780.284877,1777060780.2926638,1777060780.284877,0.0,0.007786750793457031,0.0016128280003613327,1.8602391481399536,-15.000248781519442,14.991968621609047,-0.3244998049206758,-0.7065423741549929,1.3865860760389632e-06,0.707670738070513,-4.890697536149591e-07,-15.003217252645635,14.991963689065251,-2.184736584588066,1.2671629292526632e-06,-0.00159676733892411,-15.000030517578125,14.999969482421875,1777060780.284877
1777060780.3364768,1777060780.3410807,1777060780.3364768,0.0,0.004603862762451172,0.0004174310015514493,1.8602389097213745,-15.000248286510187,14.991968621609614,-0.32449980570844833,-0.7065436527491242,1.388525837482609e-06,0.70766946151276,-4.871285215403767e-07,-15.003210035232401,14.991963689074174,-2.1847363576720813,1.2726562772513716e-06,-0.0015931538073346019,-15.000030517578125,14.999969482421875,1777060780.3364768
1777060780.3925576,1777060780.4410045,1777060780.3925576,0.0,0.0484468936920166,0.04459669200150529,1.8602386713027954,-15.00024779258548,14.991968621610177,-0.3244998064927121,-0.7065449285399131,1.3904667324139296e-06,0.707668187749287,-4.851861646373382e-07,-15.003202833631477,14.991963689083047,-2.184736130704901,1.2781528084815363e-06,-0.001589548191986978,-15.000030517578125,14.999969482421875,1777060780.3925576
1777060780.4505131,1777060780.491575,1777060780.4505131,0.0,0.0410618782043457,0.03645789199799765,1.860238790512085,-15.000247300032381,14.991968621610736,-0.3244998072730246,-0.7065462007859248,1.3924079580722122e-06,0.707666917520385,-4.832434859541569e-07,-15.003195652594819,14.991963689090921,-2.184736261307485,1.2836502492064028e-06,-0.0015859525883570313,-15.000030517578125,14.999969482421875,1777060780.4505131
1777060780.5071964,1777060780.5410166,1777060780.5071964,0.0,0.033820152282714844,0.029867987002944574,1.860238790512085,-15.000246808292694,14.991968621611292,-0.3244998080502818,-0.7065474709288835,1.3943502363757902e-06,0.7076656493866456,-4.812997642336687e-07,-15.003188483226728,14.991963689099059,-2.1847362726563593,1.28915064578905e-06,-0.0015823629219084978,-15.000030517578125,14.999969482421875,1777060780.5071964
1777060780.5600781,1777060780.5910697,1777060780.5600781,0.0,0.030991554260253906,0.025533923002512893,1.8602383136749268,-15.000246317860833,14.991968621611846,-0.3244998088237136,-0.7065487376918639,1.3962934075273479e-06,0.7076643846230036,-4.79355157848944e-07,-15.003181332172012,14.991963689108415,-2.184735807112855,1.2946535434821271e-06,-0.001578782801516354,-15.000030517578125,14.999969482421875,1777060780.5600781
